"Predictor";"Onset of dawn singing";"Cessation of dusk singing";"Dawn chorus duration";"Dusk chorus duration"
"(Intercept)";"0.051 ± 0.0558";"-0.032 ± 0.1140";"-0.083 ± 0.0754";"-0.183 ± 0.1195"
"alan";"-0.556 ± 0.0582***";"0.170 ± 0.0762*";"0.362 ± 0.0821***";"-0.049 ± 0.0758"
"noise";"-0.097 ± 0.0572";NA;"0.049 ± 0.0760";"-0.209 ± 0.0757**"
"day";"0.349 ± 0.0544***";"-0.257 ± 0.0862**";"-0.163 ± 0.0747*";"-0.030 ± 0.0912"
"mtemp";"-0.074 ± 0.0518";NA;NA;NA
"wind";"0.149 ± 0.0581*";"-0.242 ± 0.0753**";NA;NA
"alan:noise_db";"-0.126 ± 0.0551*";NA;"0.220 ± 0.0744**";NA
"alan:day";"0.185 ± 0.0554***";NA;NA;"0.172 ± 0.0736*"
"noise_db:day";"0.157 ± 0.0491**";NA;NA;NA
"press";NA;"-0.144 ± 0.0861";"-0.113 ± 0.0737";"-0.120 ± 0.0846"
"cloudPartly cloudy";NA;"-0.415 ± 0.2222";NA;"0.016 ± 0.2207"
"cloudCloudy";NA;"0.227 ± 0.1631";NA;"0.413 ± 0.1901*"
"humid";NA;NA;"0.102 ± 0.0725";"-0.240 ± 0.0897**"
