"term";"Onset of dawn singing";"Cessation of dusk singing";"Dawn chorus duration";"Dusk chorus duration"
"(Intercept)";"0.051 (-0.053, 0.219)";"-0.032 (-0.277, 0.318)";"-0.083 (-0.244, 0.158)";"-0.183 (-0.413, 0.184)"
"alan";"-0.556 (-0.664, -0.343)***";"0.170 (0.031, 0.501)*";"0.362 (0.201, 0.653)***";"-0.049 (-0.202, 0.172)"
"noise";"-0.097 (-0.211, 0.098)";NA;"0.049 (-0.107, 0.285)";"-0.209 (-0.358, -0.004)***"
"day";"0.349 (0.242, 0.543)***";"-0.257 (-0.435, 0.001)**";"-0.163 (-0.307, 0.097)*";"-0.030 (-0.213, 0.250)"
"mtemp";"-0.074 (-0.180, 0.086)";NA;NA;NA
"wind";"0.149 (0.039, 0.348)*";"-0.242 (-0.393, -0.024)***";NA;NA
"alan:noise_db";"-0.126 (-0.235, 0.042)*";NA;"0.220 (0.080, 0.470)***";NA
"alan:day";"0.185 (0.076, 0.365)***";NA;NA;"0.172 (0.021, 0.393)*"
"noise_db:day";"0.157 (0.062, 0.374)***";NA;NA;NA
"sigma_res";"0.588 (0.492, 0.720)***";"0.884 (0.737, 1.073)***";"0.778 (0.640, 1.000)***";"0.926 (0.777, 1.133)***"
"sigma_loc";"0.275 (0.000, 0.557)";"0.309 (0.000, 0.715)";"0.395 (0.000, 0.696)*";"0.000 (0.000, 0.701)"
"press";NA;"-0.144 (-0.324, 0.112)";"-0.113 (-0.259, 0.150)";"-0.120 (-0.278, 0.156)"
"cloudPartly cloudy";NA;"-0.415 (-0.880, 0.345)";NA;"0.016 (-0.406, 0.899)"
"cloudCloudy";NA;"0.227 (-0.094, 0.733)";NA;"0.413 (0.045, 0.934)*"
"humid";NA;NA;"0.102 (-0.045, 0.329)";"-0.240 (-0.422, -0.008)***"
