ID	typ	lokalita	datum	sunset	sunrise	end	start
1K	klid	Olšanské høbitovy	19.4.2014	20:00	6:01	20:14	4:09
2K	klid	Øíèanský les	8.5.2014	20:29	5:25	20:36	4:47
3K	klid	Klánovice	21.5.2014	20:49	5:08	20:54	4:20
4K	klid	Kersko	30.5.2014	20:59	4:58	21:21	4:08
5K	klid	Kersko	30.5.2014	20:59	4:58	21:21	4:08
6K	klid	Kersko	4.6.2014	21:04	4:55	21:34	4:11
7K	klid	Kersko	4.6.2014	21:04	4:55	21:30	4:35
8K	klid	Kersko	4.6.2014	21:04	4:55	21:02	3:55
1H	hluk	Øíèanský les	8.5.2014	20:29	5:25	20:36	4:47
2H	hluk	Klánovice-u trati	21.5.2014	20:49	5:08	21:08	4:05
3H	hluk	Kersko - u dálnice	30.5.2014	20:59	4:58	21:22	4:27
4H	hluk	Kersko	30.5.2014	20:59	4:58	21:10	4:45
5H	hluk	Kersko	4.6.2014	21:04	4:55	21:13	4:11
1S	svìtlo	Stromovka	8.4.2014	19:43	6:24	20:05	5:37
2S	svìtlo	Stromovka	8.4.2014	19:43	6:24	19:44	5:39
3S	svìtlo	Petøín	19.4.2014	20:00	6:01	20:37	4:21
4S	svìtlo	Stromovka	1.5.2014	20:19	5:39	20:45	4:41
5S	svìtlo	Petøín	8.5.2014	20:29	5:28	20:59	4:00
6S	svìtlo	Petøín	8.5.2014	20:29	5:28	20:51	4:15
7S	svìtlo	Hostivaø	30.5.2014	20:58	4:58	20:14	3:49
8S	svìtlo	Kinského zahrady	4.6.2014	21:03	4:54	21:06	4:10
1SH	svìtlo + hluk 	Park Pøátelství	8.4.2014	19:43	6:22	19:49	3:48
2SH	svìtlo + hluk 	Park Pøátelství	8.4.2014	19:43	6:22	20:17	4:02
3SH	hluk+svìtlo	Letenské sady	26.4.2014	20:11	5:48	20:30	3:55
4SH	hluk+svìtlo	Letenské sady	26.4.2014	20:11	5:48	20:38	4:17
5SH	hluk+svìtlo	Letenské sady	8.5.2014	20:29	5:27	21:13	3:50
6SH	svìtlo + hluk	Kinského Sady	21.5.2014	20:49	5:08	21:32	4:00
7SH	svìtlo+hluk	Hostivaø	30.5.2014	20:58	4:58	21:00	3:49
8SH	hluk+svìtlo	Letenské sady	30.5.2014	20:59	4:59	21:05	3:30
9SH	hluk+svìtlo	Letenské sady	30.5.2014	20:59	4:59	21:13	3:50
10SH	hluk+svìtlo	Letenské sady	30.5.2014	20:59	4:59	21:13	3:44
9K	klid	les u Zdejcina	6.3.2015	17:52	6:38	18:19	5:57
10K	klid	les u Zdejcina	6.3.2015	17:52	6:38	18:19	5:45
6H	hluk	CHKO Èeský kras	6.3.2015	17:52	6:38	18:21	5:45
7H	hluk	CHKO Èeský kras	6.3.2015	17:52	6:38	18:19	5:29
8H	hluk	CHKO Èeský kras	6.3.2015	17:52	6:38	18:14	5:52
11K	klid	CHKO Brdy	20.3.2015	18:14	6:08	18:17	5:31
